run,N,M,final_k_granularity,cooldown_final_k_granularity,step,total_steps,loss,head_lr,muon_lr
0,1,0,1.0,1.0,0,50,2.3135,1072.0,0.2
0,1,0,1.0,1.0,1,50,2.2201,1072.0,0.12
0,1,0,1.0,1.0,2,50,2.2238,1072.0,0.2
0,1,0,1.0,1.0,3,50,1.9782,1072.0,0.12
0,1,0,1.0,1.0,4,50,1.7329,1072.0,0.12
0,1,0,1.0,1.0,5,50,1.5326,1072.0,0.043
0,1,0,1.0,1.0,6,50,1.3445,1072.0,0.072
0,1,0,1.0,1.0,7,50,1.269,1072.0,0.026
0,1,0,1.0,1.0,8,50,1.1267,1072.0,0.043
0,1,0,1.0,1.0,9,50,1.0647,1072.0,0.026
0,1,0,1.0,1.0,10,50,1.0102,1072.0,0.026
0,1,0,1.0,1.0,11,50,0.9854,1072.0,0.026
0,1,0,1.0,1.0,12,50,0.9516,1072.0,0.026
0,1,0,1.0,1.0,13,50,0.9395,1072.0,0.016
0,1,0,1.0,1.0,14,50,0.9132,1072.0,0.016
0,1,0,1.0,1.0,15,50,0.9029,1072.0,0.0093
0,1,0,1.0,1.0,16,50,0.8944,1072.0,0.016
0,1,0,1.0,1.0,17,50,0.8871,1072.0,0.0056
0,1,0,1.0,1.0,18,50,0.8839,1072.0,0.0056
0,1,0,1.0,1.0,19,50,0.8816,1072.0,0.0056
0,1,0,1.0,1.0,20,50,0.8809,1072.0,0.0034
0,1,0,1.0,1.0,21,50,0.8779,1072.0,0.0056
0,1,0,1.0,1.0,22,50,0.8774,1072.0,0.002
0,1,0,1.0,1.0,23,50,0.8757,1072.0,0.0034
0,1,0,1.0,1.0,24,50,0.8752,1072.0,0.002
0,1,0,1.0,1.0,25,50,0.8745,1072.0,0.0034
0,1,0,1.0,1.0,26,50,0.8741,1072.0,0.0012
0,1,0,1.0,1.0,27,50,0.8734,1072.0,0.002
0,1,0,1.0,1.0,28,50,0.8729,1072.0,0.0034
0,1,0,1.0,1.0,29,50,0.8725,1072.0,0.0012
0,1,0,1.0,1.0,30,50,0.8721,1072.0,0.0012
0,1,0,1.0,1.0,31,50,0.8717,1072.0,0.002
0,1,0,1.0,1.0,32,50,0.8715,1072.0,0.0012
0,1,0,1.0,1.0,33,50,0.8711,1072.0,0.002
0,1,0,1.0,1.0,34,50,0.871,1072.0,0.00073
0,1,0,1.0,1.0,35,50,0.8707,1072.0,0.0012
0,1,0,1.0,1.0,36,50,0.8705,1072.0,0.002
0,1,0,1.0,1.0,37,50,0.8702,1072.0,0.00073
0,1,0,1.0,1.0,38,50,0.8701,1072.0,0.00073
0,1,0,1.0,1.0,39,50,0.8699,1072.0,0.0012
0,1,0,1.0,1.0,40,50,0.8698,1072.0,0.00073
0,1,0,1.0,1.0,41,50,0.8696,1072.0,0.0012
0,1,0,1.0,1.0,42,50,0.8696,1072.0,0.00044
0,1,0,1.0,1.0,43,50,0.8694,1072.0,0.00073
0,1,0,1.0,1.0,44,50,0.8693,1072.0,0.0012
0,1,0,1.0,1.0,45,50,0.8692,1072.0,0.00073
0,1,0,1.0,1.0,46,50,0.8691,1072.0,0.0012
0,1,0,1.0,1.0,47,50,0.869,1072.0,0.00044
0,1,0,1.0,1.0,48,50,0.8689,1072.0,0.00073
0,1,0,1.0,1.0,49,50,0.8688,1072.0,0.0012
0,1,0,1.0,1.0,50,50,0.8687,1072.0,0.00073
1,1,1,1.0,1.0,0,50,2.3135,1072.0,0.2
1,1,1,1.0,1.0,1,50,2.2511,1072.0,0.33
1,1,1,1.0,1.0,2,50,2.5831,1072.0,0.33
1,1,1,1.0,1.0,3,50,2.0231,1072.0,0.072
1,1,1,1.0,1.0,4,50,1.8339,1072.0,0.12
1,1,1,1.0,1.0,5,50,1.7072,1072.0,0.072
1,1,1,1.0,1.0,6,50,1.6699,1072.0,0.043
1,1,1,1.0,1.0,7,50,1.5559,1072.0,0.043
1,1,1,1.0,1.0,8,50,1.4883,1072.0,0.043
1,1,1,1.0,1.0,9,50,1.4329,1072.0,0.043
1,1,1,1.0,1.0,10,50,1.3622,1072.0,0.026
1,1,1,1.0,1.0,11,50,1.3174,1072.0,0.026
1,1,1,1.0,1.0,12,50,1.245,1072.0,0.026
1,1,1,1.0,1.0,13,50,1.1749,1072.0,0.016
1,1,1,1.0,1.0,14,50,1.1265,1072.0,0.026
1,1,1,1.0,1.0,15,50,1.0918,1072.0,0.016
1,1,1,1.0,1.0,16,50,1.0719,1072.0,0.016
1,1,1,1.0,1.0,17,50,1.038,1072.0,0.016
1,1,1,1.0,1.0,18,50,1.007,1072.0,0.016
1,1,1,1.0,1.0,19,50,0.9919,1072.0,0.016
1,1,1,1.0,1.0,20,50,0.9718,1072.0,0.0093
1,1,1,1.0,1.0,21,50,0.9716,1072.0,0.0093
1,1,1,1.0,1.0,22,50,0.9662,1072.0,0.0093
1,1,1,1.0,1.0,23,50,0.9555,1072.0,0.0093
1,1,1,1.0,1.0,24,50,0.9462,1072.0,0.0093
1,1,1,1.0,1.0,25,50,0.9402,1072.0,0.0056
1,1,1,1.0,1.0,26,50,0.9255,1072.0,0.0093
1,1,1,1.0,1.0,27,50,0.9165,1072.0,0.0056
1,1,1,1.0,1.0,28,50,0.912,1072.0,0.0056
1,1,1,1.0,1.0,29,50,0.9072,1072.0,0.0056
1,1,1,1.0,1.0,30,50,0.9018,1072.0,0.0034
